"","model_type","R0","gamma_val","omega_val","omega_m_val","kappa_val","rho_val","epsilon_val","mu_val","mj_val","m_val","delta_t","c","s","phi","c_v","s_v","phi_v","zeta","disp","d","loglik","loglik.se"
"1",1,5.22794191979992,11.8777083326926,0,0.801,5000,0,0,1.37,0.5,0.187,365,17.3316828580193,121.017166243724,7.181,1,2.90075809374298,1.08795146280362,0.464062797852694,19.1856100764016,5.6377407215912,-57.5445320213788,0.00996895367398822
"2",1,11.5998686960681,12.2295260190364,0,0.801,5000,0,0,1.37,0.5,0.187,365,9.5474487055394,175.466158599499,7.181,1,3.50588329397014,1.0337139699883,0.34715726430085,19.43181824623,10.7262605843789,-57.6081251267311,0.00569138149542994
"3",1,13.9580705934571,12.3851797364068,0,0.801,5000,0,0,1.37,0.5,0.187,365,8.43584115814482,180.669782608751,7.181,1,4.00499508283985,1.02798614216339,0.730603891980427,21.8905185856076,5.00537631363392,-57.6783593642716,0.00866067328402371
"4",1,6.42142095088171,12.3859398572902,0,0.801,5000,0,0,1.37,0.5,0.187,365,15.122752911778,214.364344623756,7.181,1,4.15977972895184,1.01497721129408,0.358393012180689,19.8458314958803,7.7185743927833,-57.689493774069,0.00554206640309954
"5",1,4.4990655512083,12.5303307053284,0,0.801,5000,0,0,1.37,0.5,0.187,365,13.8718350513253,114.528433153222,7.181,1,4.56346105162234,1.00067596213945,0.375728648984933,19.7375141380153,6.41457176819108,-57.6900575943899,0.00656776157303023
"6",1,4.86063500581845,12.4373975002582,0,0.801,5000,0,0,1.37,0.5,0.187,365,12.9617869353134,77.9468117430405,7.181,1,3.53498745181315,1.04773880994052,0.334614875335706,23.1597659658397,7.26046876219884,-57.693048140237,0.00471908586674957
"7",1,4.83028013066625,12.689657058403,0,0.801,5000,0,0,1.37,0.5,0.187,365,12.7002951379253,124.83821817319,7.181,1,4.63192995388536,0.989128805410502,0.435019280549586,19.1354871625013,6.08973190718757,-57.6948428200906,0.00723122348316144
"8",1,6.47649400469445,12.3941725425805,0,0.801,5000,0,0,1.37,0.5,0.187,365,13.4711039715341,175.785199699659,7.181,1,4.31813360559691,1.0140223214259,0.287085427994143,19.5427818195591,9.54175869572158,-57.7065953461484,0.00895942509151003
"9",1,5.33795859156984,12.5313287737714,0,0.801,5000,0,0,1.37,0.5,0.187,365,13.2957995049176,144.028352880995,7.181,1,4.37904090447074,1.00229712854266,0.335355233946082,19.2421539076188,8.07046523925546,-57.7089510456314,0.00342320564908791
"10",1,6.92298791399083,12.8974567784054,0,0.801,5000,0,0,1.37,0.5,0.187,365,11.9685367091673,196.600951232833,7.181,1,5.40738034721895,0.981422844191967,0.487398033447142,18.2032921564715,5.79883193460718,-57.7871463191293,0.0103589462798597
"11",1,4.73987157326056,13.5856225600713,0,0.801,5000,0,0,1.37,0.5,0.187,365,12.0227428979449,119.270435099536,7.181,1,6.40523262239613,0.970001012201342,0.334604137152232,18.6620299900862,6.85999986341488,-57.877279657315,0.0039207033510922
"12",1,6.15868651551545,14.1195513626228,0,0.801,5000,0,0,1.37,0.5,0.187,365,9.20670915739406,149.075156147523,7.181,1,7.52422803160036,0.942051868282767,0.44096344985305,18.8778627113444,6.50284295169898,-58.0031743752454,0.00354731033132246
"13",1,2.80191712551077,14.0394651891008,0,0.801,5000,0,0,1.37,0.5,0.187,365,15.5217090266103,118.270034219201,7.181,1,7.44626292548077,0.947421446165206,0.548186074432811,20.2703464218628,3.65946699660416,-58.0031909754261,0.00590590317232345
"14",1,6.00498787813268,14.024267350712,0,0.801,5000,0,0,1.37,0.5,0.187,365,11.1965328562561,181.785588527763,7.181,1,7.8257025925479,0.954906762670492,0.741261213782828,17.8506055460677,3.40243439006947,-58.0085175375701,0.00673170663680659
"15",1,7.61747887785473,14.0932717503233,0,0.801,5000,0,0,1.37,0.5,0.187,365,7.25089750338371,206.657882413051,7.181,1,7.10017246638631,0.911976182681389,0.864164799777818,18.7469719731335,4.7951306603952,-58.1736930372231,0.00999843187551126
"16",1,6.04648641360678,17.3759114672998,0,0.801,5000,0,0,1.37,0.5,0.187,365,9.61613815106319,214.651744792991,7.181,1,13.6732931175108,0.923512475749081,0.145742585607954,17.6998547738049,18.8366742071126,-58.5238002598676,0.00653565270546737
"17",1,3.30002189837592,19.0805739197097,0,0.801,5000,0,0,1.37,0.5,0.187,365,6.58643207214675,74.5868921186004,7.181,1,17.2202127109105,0.891250597899971,0.206080388453336,19.09876882346,12.6907143375332,-58.8125171014865,0.0114536050228902
"18",1,4.78759932401374,21.0544682003783,0,0.801,5000,0,0,1.37,0.5,0.187,365,12.7885356323978,147.962263302895,7.181,1,20.4350885995326,1.03149322334912,0.160332065559984,15.0879412522905,10.7352706342791,-58.9298151833293,0.00121447775658231
