"","model_type","R0","gamma_val","omega_val","omega_m_val","kappa_val","rho_val","epsilon_val","mu_val","mj_val","m_val","delta_t","c","s","phi","c_v","s_v","phi_v","zeta","disp","d","loglik","loglik.se"
"1",2,26.6545023684413,9.97263804597117,4.69851401913042,0.801,5000,0,0,1.37,0.501,0.191,365,17.0971377604002,130.726028770248,7.179,1,70.9256753923597,3.05997905430167,0.864395994082608,45.8559677130592,2.80159667072373,-54.928261013459,0.00770946548099683
"2",2,37.4894770637377,11.6842791798747,6.49671262841224,0.801,5000,0,0,1.37,0.501,0.191,365,7.12439089570153,45.4153470960636,7.179,1,259.436179506553,3.08204695181682,0.690625426005241,87.4107196828223,5.44585324373187,-55.1430899099696,0.0130826044106049
"3",2,25.25670880233,11.4394672206132,12.2781558496358,0.801,5000,0,0,1.37,0.501,0.191,365,9.87871752651713,43.5219854015534,7.179,1,437.853275462196,3.0605006611215,0.653168363879759,77.3069745726417,4.80744913260856,-55.8733278229801,0.00590682267022174
"4",2,47.4741008778328,12.1566910501048,5.62183890304034,0.801,5000,0,0,1.37,0.501,0.191,365,15.300511497547,277.451262707429,7.179,1,230.656687055828,3.11975693095595,0.351411207736276,106.630101621139,12.1440064132367,-56.8562374961212,0.013204754288538
"5",2,55.2942382834326,7.0866115071208,13.4045294306963,0.801,5000,0,0,1.37,0.501,0.191,365,31.0263352446272,67.117675112102,7.179,1,51.6734157680689,3.13546222649946,0.836804688654681,36.6399224654608,0.953002172732494,-57.1219599276833,0.00200165979312668
"6",2,36.4689825690558,12.2792116163802,6.20190351294647,0.801,5000,0,0,1.37,0.501,0.191,365,9.37842237397561,78.0918453717381,7.179,1,203.489832328681,3.12220054893031,0.616630067061146,86.1020869106145,6.26856841790893,-57.1668269657419,0.0154031912002596
"7",2,60.3841957716877,11.7468788026938,5.77209533544946,0.801,5000,0,0,1.37,0.501,0.191,365,6.13591632953673,65.7210317871799,7.179,1,314.896348725068,3.12240122326453,0.525730955826745,108.941370515024,9.0620487794513,-57.1757869983548,0.0150827423293908
"8",2,73.6411109556614,11.8808998902483,3.54243167841117,0.801,5000,0,0,1.37,0.501,0.191,365,7.82763743945995,144.441051725421,7.179,1,177.360916562263,3.12905638438971,0.203833156293924,208.761991297902,26.2264908112287,-57.2502101411303,0.0191279482283714
"9",2,69.0606810460979,11.5431896941443,4.33169211643351,0.801,5000,0,0,1.37,0.501,0.191,365,8.9246456490014,169.927012505701,7.179,1,212.664427870937,3.12623697568865,0.523663435680537,147.601365627461,9.3145055807944,-57.2851487859447,0.0197502051516112
"10",2,33.4218208215383,11.7837138405695,7.65930384219129,0.801,5000,0,0,1.37,0.501,0.191,365,13.4658325515972,123.196998283648,7.179,1,252.286376203767,3.11084815780692,0.839824401743675,106.629494805917,4.18673786909503,-57.5415419241901,0.00632864327590034
"11",2,57.7480377368529,12.0080489213835,6.19032412306657,0.801,5000,0,0,1.37,0.501,0.191,365,16.4225663594121,402.665543522456,7.179,1,305.106874549928,3.12156745525065,0.58927014199405,135.856146831219,7.71248699736185,-57.7492525406327,0.0157888338802147
"12",2,36.2689251469439,11.4538417349866,14.4617250707805,0.801,5000,0,0,1.37,0.501,0.191,365,12.9848221839763,123.353663242519,7.179,1,654.116151807501,3.08119278923191,0.584563342218836,149.699508900037,5.73258929892508,-57.811878372563,0.00654106466152009
"13",2,52.6355381118651,12.4675944914042,6.73446979639927,0.801,5000,0,0,1.37,0.501,0.191,365,12.7223586859507,238.015193406956,7.179,1,357.000157239513,3.10282214407711,0.276050662802833,371.547550137738,17.4400106680558,-58.3703033785166,0.0119908472721301
"14",2,41.9480508006982,12.6758267111482,6.2362389447084,0.801,5000,0,0,1.37,0.501,0.191,365,10.4890610202244,113.522869814167,7.179,1,243.443619707991,3.13795730884513,0.647998785380115,119.091727795927,6.52594693767628,-58.4514989619099,0.0407570457707917
"15",2,69.2297663345864,12.1467516098648,3.86833945519405,0.801,5000,0,0,1.37,0.501,0.191,365,8.26524372915546,149.72416610794,7.179,1,172.359907287772,3.12812369265444,0.487883530549625,798.148538952398,10.463235714879,-58.612917060711,0.0270323397552211
"16",2,59.875297608605,12.2647047875729,3.0966338561146,0.801,5000,0,0,1.37,0.501,0.191,365,8.21939870035011,124.490177774784,7.179,1,111.905161142151,3.13559190139437,0.82544273881184,683.22412578699,6.12428208686555,-58.6848539378849,0.0128835106139984
"17",2,23.340606023588,11.1572217139956,12.7142596538937,0.801,5000,0,0,1.37,0.501,0.191,365,15.3798878496977,84.4224037747554,7.179,1,300.180812419752,3.07995270808996,0.604622573987297,283.926850398498,4.36575091628754,-58.8268042983782,0.00838555219548844
"18",2,20.1776769298566,11.0766730795325,15.1319308580349,0.801,5000,0,0,1.37,0.501,0.191,365,12.9220463018875,53.2797935534506,7.179,1,417.361092327344,2.99812542433448,0.483001402172254,115.991377726447,5.71031177939645,-59.2056723514307,0.0195867881794609
"19",2,51.108408934541,11.733058800317,9.41187990146594,0.801,5000,0,0,1.37,0.501,0.191,365,8.23079576632372,107.324443071142,7.179,1,547.875030296443,3.03695702433793,0.287332172649958,272.033720854753,16.1597562116236,-59.5634634830617,0.0168826806840172
"20",2,67.2480000355626,11.876591894082,7.18436356745526,0.801,5000,0,0,1.37,0.501,0.191,365,11.7371007206612,316.200167569684,7.179,1,475.571583734512,3.04455453672163,0.507642896351233,1129.83708625522,10.2616486074569,-59.6707020134267,0.0498849287084017
