"","gamma_val","model_type","R0","omega_val","omega_m_val","kappa_val","rho_val","epsilon_val","mu_val","mj_val","m_val","delta_t","c","s","phi","c_v","s_v","phi_v","zeta","disp","d","loglik","loglik.se"
"1",9.22222222222222,2,110.931558129123,2.93624953778965,0.801,5000,0,0,1.37,0.501,0.191,365,6.86590248658925,211.276763128562,7.179,1,184.224285700885,3.04836790916868,0.766503726491935,61.4934792779148,6.54687813933754,-54.5194669795989,0.0375151935302232
"2",10.3333333333333,2,30.1580112589708,4.23886071724572,0.801,5000,0,0,1.37,0.501,0.191,365,8.74861010202062,52.244217336059,7.179,1,119.422623871711,3.03272006336517,0.808802789860837,51.4498265129497,4.01947537105526,-54.5206383528627,0.0391588266753244
"3",10.3333333333333,2,31.2353008857306,4.68784308567471,0.801,5000,0,0,1.37,0.501,0.191,365,17.685550509563,207.05209622492,7.179,1,133.757437412786,3.03358658027118,0.660777128756843,54.8295466060235,4.89158212598727,-54.5525957507738,0.0144696767319878
"4",9.77777777777778,2,37.8441563813601,4.35535458208345,0.801,5000,0,0,1.37,0.501,0.191,365,13.3419436574814,168.896210324623,7.179,1,148.502822972833,3.01745852170001,0.752009764085164,51.0789433640751,4.47850768087964,-54.5541045654478,0.0325687541471249
"5",10.304347826087,2,32.5142020276086,4.04793331945672,0.801,5000,0,0,1.37,0.501,0.191,365,14.0991938313402,141.751514112652,7.179,1,100.581666126477,3.04347145801043,0.695381950605524,61.5757379827425,4.62239993527596,-54.6002819316911,0.0301039626258267
"6",9.77777777777778,2,32.9481002064023,4.68677488918319,0.801,5000,0,0,1.37,0.501,0.191,365,12.564686525739,110.187123800133,7.179,1,120.462835524249,3.02850574172567,0.691170289852664,55.7612896931851,4.34618857610097,-54.7034337897199,0.0396790809081256
"7",9.26086956521739,2,39.5674320091812,3.91251197130289,0.801,5000,0,0,1.37,0.501,0.191,365,12.8892968358664,177.89948651537,7.179,1,142.255148979121,2.98527124968377,0.628186671236759,37.6969816581575,5.5111869775801,-54.7093028707947,0.0235021654118473
"8",11.3478260869565,2,16.123900449612,5.34027534389618,0.801,5000,0,0,1.37,0.501,0.191,365,14.6919885268104,50.4464675938746,7.179,1,87.6357963225624,3.03764894640264,0.655385459568018,52.0136843867055,4.22788098168773,-54.7239576611513,0.0330717900023701
"9",10.3333333333333,2,102.740106077806,3.55533362987116,0.801,5000,0,0,1.37,0.501,0.191,365,8.31575877647134,262.341009496672,7.179,1,230.663168763975,3.0919243231488,0.468632444376903,78.7673534046797,11.3272353460164,-54.7450289405503,0.0299111909438024
"10",10.8888888888889,2,31.3481105246123,5.64649399249636,0.801,5000,0,0,1.37,0.501,0.191,365,13.9219041158749,129.463496494413,7.179,1,189.388961885978,3.06224390754959,0.680449620312924,62.2019879524888,4.98247449342855,-54.7570442796028,0.0342428871452573
"11",9.26086956521739,2,28.4844376263525,5.37067695468522,0.801,5000,0,0,1.37,0.501,0.191,365,11.2816755661592,74.1055743729631,7.179,1,138.237377867745,2.99805359422045,0.737253469600896,42.806101446274,3.65259981653976,-54.7734774032583,0.0447918919519586
"12",10.304347826087,2,23.0568161945841,7.75891157422443,0.801,5000,0,0,1.37,0.501,0.191,365,15.6760362750627,103.416434324102,7.179,1,226.032106987834,3.01542402581303,0.898111550052209,55.5216383529023,3.10233155808647,-54.7767922834382,0.0272207279554294
"13",10.304347826087,2,29.0923774548854,5.43624888855057,0.801,5000,0,0,1.37,0.501,0.191,365,13.7978484908965,106.876768094803,7.179,1,147.357806342533,3.04803797806833,0.548209967009067,62.8179357407701,5.5566887966448,-54.7917308040358,0.0414429561413369
"14",8.73913043478261,2,81.4609720770042,2.98823307088789,0.801,5000,0,0,1.37,0.501,0.191,365,6.92165098179776,142.727448538673,7.179,1,156.417945619907,3.01126463576212,0.782728701769403,52.1151715962367,5.41013888255405,-54.8000079566012,0.0405088348791342
"15",9.78260869565217,2,38.7741522379571,4.44414278557823,0.801,5000,0,0,1.37,0.501,0.191,365,11.2131157415897,110.208440285407,7.179,1,131.827910358076,3.04842394422664,0.84645589813086,62.634355313312,3.82310419506246,-54.802947312166,0.0208385080339321
"16",9.78260869565217,2,46.6505040185902,7.66148080575292,0.801,5000,0,0,1.37,0.501,0.191,365,8.97835214366317,90.8952823419541,7.179,1,346.060482933076,3.04395330057945,0.570648657412997,58.5841043633189,5.84371791014152,-54.8262321837396,0.0472835232624707
"17",10.8260869565217,2,25.9780471205102,7.09082385308218,0.801,5000,0,0,1.37,0.501,0.191,365,13.7924523979877,106.130932093506,7.179,1,248.461153009102,3.01799108927242,0.777869617800668,74.094480885087,4.16294640567681,-54.8991486037684,0.0179960111585478
"18",8.66666666666667,2,42.3274108448306,4.31694351558775,0.801,5000,0,0,1.37,0.501,0.191,365,13.2801434282255,184.568996367776,7.179,1,129.048414929023,2.99452895509158,0.75257820975761,43.4336388131545,3.90670203942081,-54.9423012861358,0.0126306558714488
"19",11.8695652173913,2,30.8840315391952,2.38023943631514,0.801,5000,0,0,1.37,0.501,0.191,365,20.8311496704355,448.194416793384,7.179,1,157.330393380654,2.95836877679287,0.595968957219164,32.0435314991203,9.39247532617356,-54.9626574326254,0.042678452808687
"20",9.26086956521739,2,29.3512154173218,5.57798739155515,0.801,5000,0,0,1.37,0.501,0.191,365,16.0089311359523,160.108236741833,7.179,1,156.294623163644,2.99760247771372,0.612454432361605,55.3000013326162,4.53624500200652,-54.9662407617627,0.014752900248651
"21",9.22222222222222,2,34.9684726563605,5.76943737212315,0.801,5000,0,0,1.37,0.501,0.191,365,11.3534476871104,109.622312775799,7.179,1,202.738233871016,2.99159415004372,0.877948415683932,53.7564564718656,3.39638358345656,-54.9674946188381,0.0492781549300257
"22",10.3333333333333,2,31.1416781723556,5.77546262897226,0.801,5000,0,0,1.37,0.501,0.191,365,16.3954066251364,193.33593646599,7.179,1,179.586178164582,3.03058311251437,0.682859018164702,81.2809428409571,4.62462228755994,-54.9776786934445,0.0437889386315381
"23",9.26086956521739,2,31.3495500614784,5.75448335369634,0.801,5000,0,0,1.37,0.501,0.191,365,10.8016900927177,84.2569310265037,7.179,1,185.463664419911,2.98565148247788,0.856817745653609,54.414588879053,3.37477427581024,-54.9789902057962,0.0430343153402224
"24",12.3913043478261,2,28.4724841227291,4.00390230271098,0.801,5000,0,0,1.37,0.501,0.191,365,14.6410444986228,138.632844451997,7.179,1,107.408435172364,3.08482766844861,0.779872745618259,68.1816031563427,4.98553870798078,-55.0469509170914,0.0725188447621403
"25",9.26086956521739,2,107.021850990172,2.90547490048799,0.801,5000,0,0,1.37,0.501,0.191,365,8.01160606158161,228.474633143795,7.179,1,146.039633630402,3.07502817952852,0.401638455375897,109.352160056603,11.238993685926,-55.0488209791073,0.0741053703654052
"26",11.3478260869565,2,29.974440645495,4.58342042424733,0.801,5000,0,0,1.37,0.501,0.191,365,14.98329013173,145.966182998998,7.179,1,120.561330005934,3.07362542479287,0.816301664599919,69.5118606871504,4.19949514084811,-55.0587579962338,0.0387209565011064
