,model_type,R0,gamma_val,omega_val,omega_m_val,kappa_val,rho_val,epsilon_val,mu_val,mj_val,m_val,delta_t,c,s,phi,c_v,s_v,phi_v,zeta,disp,d,loglik,loglik.se,comment
23,3,8.014068149,0,0,0.799,5000,40.3425617,0.867917749,1.37,0.5,0.187,365,12.14455771,100.6340497,11.65946175,1,3.036261449,0.120672755,0.738884316,62.19188267,16.5219123,-59.0267932,0.020293984,Phi not fixed IF
24,3,6.625984635,0,0,0.799,5000,62.50181708,2.088825876,1.37,0.5,0.187,365,45.89189441,80.20989551,17.84705769,1,2.95008269,0.157703429,0.807680682,57.59288428,12.92306103,-59.16871028,0.005494581,Phi not fixed IF
25,3,10.63464951,0,0,0.799,5000,323.9668515,23.44041919,1.37,0.5,0.187,365,42.07323459,172.3220115,40.86629617,1,2.765680562,0.219083403,0.670856265,25.86567939,6.429243467,-59.59612824,0.004784867,Phi not fixed IF
26,3,9.954194664,0,0,0.799,5000,77.68056879,4.002694503,1.37,0.5,0.187,365,51.77532985,202.7708041,29.73758162,1,2.880352021,0.192935889,0.580698458,59.55072238,12.21668878,-59.59785872,0.008515503,Phi not fixed IF
27,3,10.82974853,0,0,0.799,5000,238.373964,16.80018216,1.37,0.5,0.187,365,42.51133177,106.1995494,12.61323084,1,2.834859614,0.200978564,0.39708092,24.19725816,13.51884831,-59.84749724,0.008721455,Phi not fixed IF
28,3,8.264887142,0,0,0.799,5000,204.2403261,7.480338048,1.37,0.5,0.187,365,43.21877272,42.02647483,35.86813513,1,2.878163155,0.184114365,0.656370959,78.01502974,16.30726625,-60.55235049,0.007745009,Phi not fixed IF
29,3,12.71249271,0,0,0.799,5000,62.62919535,16.12545671,1.37,0.5,0.187,365,243.330953,43.08941427,44.9442952,1,2.852955374,0.00373247,0.888824167,34.85521604,3.045441719,-61.16586744,0.004869692,Phi not fixed IF
30,3,18.23406624,0,0,0.799,5000,154.9377733,7.511540382,1.37,0.5,0.187,365,65.49647614,97.15159474,42.17299676,1,3.052908467,0.20953265,0.756927603,90.45197779,9.768859398,-61.60689115,0.005920165,Phi not fixed IF
result.1,3,15.37660186,0,0,0.799,5000,81.64910404,3.305211349,1.37,0.5,0.187,365,34.55751203,144.4209877,7.18,1,2.492045627,0.224193186,0.445927065,29.58445958,12.48889794,-58.6949442,0.004626841,Phi fixed IF
result.2,3,19.92612384,0,0,0.799,5000,29.27341139,0.073842154,1.37,0.5,0.187,365,14.11093349,185.6409095,7.18,1,7.30468145,0.002538284,0.882854236,970.3127209,22.18668486,-54.65939328,0.048701392,Phi fixed IF
result.3,3,9.628670439,0,0,0.799,5000,160.0683154,4.1509893,1.37,0.5,0.187,365,17.71128898,163.3370211,7.18,1,2.464139668,0.223708306,0.68006206,22.12712928,12.99299955,-58.07282768,0.005733715,Phi fixed IF
result.4,3,8.790192988,0,0,0.799,5000,58.27651881,6.923847569,1.37,0.5,0.187,365,36.26441693,88.45441165,7.18,1,2.349702059,0.089168637,0.475090651,29.85814274,5.858966309,-59.2355851,0.00280131,Phi fixed IF
result.5,3,7.945712245,0,0,0.799,5000,170.7463497,2.267165563,1.37,0.5,0.187,365,4.72765177,145.0170382,7.18,1,2.76171344,0.236946912,0.792528836,70.38841866,17.86782988,-60.98467826,0.01485464,Phi fixed IF
result.6,3,21.24965052,0,0,0.799,5000,16.79971432,0.580883238,1.37,0.5,0.187,365,19.9251573,39.42876692,7.18,1,9.531966895,0.064514614,0.831978289,29.68776912,6.624990892,-55.50089749,0.004291478,Phi fixed IF
result.7,3,8.86392077,0,0,0.799,5000,119.3600907,2.084199269,1.37,0.5,0.187,365,18.49947631,98.41354372,7.18,1,2.540109227,0.217037779,0.984945071,28.2435375,12.74421138,-58.41834519,0.006584967,Phi fixed IF
result.8,3,11.68891723,0,0,0.799,5000,66.58192623,0.67187537,1.37,0.5,0.187,365,13.3922856,132.3673692,7.18,1,2.5759439,0.14890188,0.691205393,29.7720091,23.98513731,-58.38733285,0.010233808,Phi fixed IF
result.9,3,9.66095108,0,0,0.799,5000,74.34936608,1.370367081,1.37,0.5,0.187,365,6.52840604,326.614018,7.18,1,2.800293389,0.207548931,0.727077153,55.88492758,15.06994429,-60.43443329,0.011598071,Phi fixed IF
result.10,3,24.37719864,0,0,0.799,5000,14.83950195,0.624297386,1.37,0.5,0.187,365,21.97879423,64.7990009,7.18,1,15.51260216,0.009366366,0.862756901,33.99250296,6.186428318,-55.22554872,0.013172947,Phi fixed IF
result.11,3,10.49012502,0,0,0.799,5000,101.1276356,1.306204729,1.37,0.5,0.187,365,3.304633292,157.0548106,7.18,1,2.82012693,0.212655961,0.837758,342.2744493,16.16067919,-65.37876639,0.023843164,Phi fixed IF
result.12,3,12.85668939,0,0,0.799,5000,105.9352265,3.922901113,1.37,0.5,0.187,365,9.6576935,161.2980546,7.18,1,2.640938904,0.219863904,0.370186667,34.72611684,15.39959862,-59.38997306,0.006828616,Phi fixed IF
result.13,3,14.42976155,0,0,0.799,5000,101.7640904,7.46990216,1.37,0.5,0.187,365,17.49134484,97.23442732,7.18,1,2.501577061,0.217840295,0.431188059,20.93950099,7.883346463,-58.30941978,0.001843077,Phi fixed IF
result.14,3,15.92187288,0,0,0.799,5000,35.23921728,0.099584348,1.37,0.5,0.187,365,12.40766632,98.30712853,7.18,1,6.529936259,0.09312991,0.875532065,550.041124,23.93467685,-54.33721274,0.014372502,Phi fixed IF
result.15,3,16.41882333,0,0,0.799,5000,36.43470543,0.219615709,1.37,0.5,0.187,365,15.61811022,68.91306619,7.18,1,6.081336208,0.202097658,0.921695613,65.25828243,17.00923957,-54.4319715,0.01864277,Phi fixed IF
result.16,3,14.81966686,0,0,0.799,5000,285.1331046,35.44268027,1.37,0.5,0.187,365,20.93460978,57.18504824,7.18,1,2.293848708,0.132683415,0.606274139,22.7299149,2.931420512,-58.81379518,0.001120477,Phi fixed IF
result.17,3,13.69311156,0,0,0.799,5000,32.84620128,0.087550746,1.37,0.5,0.187,365,9.536609059,51.59680213,7.18,1,7.02355571,0.018363091,0.974721955,387.645345,20.29522951,-54.55035337,0.031286494,Phi fixed IF
result.18,3,18.92957531,0,0,0.799,5000,274.1029905,2.422332771,1.37,0.5,0.187,365,5.807307143,176.750256,7.18,1,2.682742283,0.220010565,0.743061173,252.1982725,20.33618345,-65.37172746,0.03824724,Phi fixed IF
result.19,3,12.18601531,0,0,0.799,5000,61.79038336,5.638744431,1.37,0.5,0.187,365,20.25853121,118.9194818,7.18,1,2.437218175,0.19066067,0.603180343,20.86442695,4.966396668,-58.14174146,0.003355399,Phi fixed IF
result.20,3,20.72219925,0,0,0.799,5000,37.90038669,0.162681303,1.37,0.5,0.187,365,18.9163004,177.4499828,7.18,1,6.061634433,0.241089899,0.860393725,904.5845254,21.63803653,-53.82416222,0.022450456,Phi fixed IF
result.21,3,15.21757586,0,0,0.799,5000,34.78324824,4.094733268,1.37,0.5,0.187,365,19.09277509,198.5246577,7.18,1,2.668269309,0.155047141,0.665482212,26.31349481,3.305199697,-58.67302545,0.005982832,Phi fixed IF
result.22,3,14.60312372,0,0,0.799,5000,157.2553066,5.871395854,1.37,0.5,0.187,365,19.6320859,210.2254717,7.18,1,2.482992451,0.231358953,0.388794579,20.95462586,14.47349187,-58.48107334,0.005560015,Phi fixed IF
result.23,3,9.113649981,0,0,0.799,5000,335.7255204,3.075022462,1.37,0.5,0.187,365,6.849289067,84.31755463,7.18,1,2.693824764,0.214336708,0.801058909,71.82610848,20.58002338,-61.44331285,0.005791008,Phi fixed IF
result.24,3,18.39359905,0,0,0.799,5000,39.56511837,0.786263589,1.37,0.5,0.187,365,16.6004262,67.05436321,7.18,1,2.779516321,0.207305776,0.866124665,24.01059055,9.493841061,-57.82667683,0.010715247,Phi fixed IF
result.25,3,12.7413752,0,0,0.799,5000,40.9796967,0.140796661,1.37,0.5,0.187,365,10.60565504,39.28494832,7.18,1,6.375455507,0.149965765,0.780960739,526.6923007,25.83302412,-53.9730592,0.031970314,Phi fixed IF
result.26,3,17.82292565,0,0,0.799,5000,30.74325444,0.101678846,1.37,0.5,0.187,365,13.43481882,115.6810039,7.18,1,7.354766377,0.055026902,0.777909975,876.6512647,23.12228021,-54.48873563,0.014791633,Phi fixed IF
result.27,3,16.4535412,0,0,0.799,5000,30.8613626,0.092355427,1.37,0.5,0.187,365,14.02485484,114.0332207,7.18,1,7.690194379,0.026873175,0.82414649,360.1833373,21.87837403,-54.45434448,0.053800659,Phi fixed IF
result.28,3,16.62921242,0,0,0.799,5000,33.22044993,0.08120934,1.37,0.5,0.187,365,12.99515182,120.6092781,7.18,1,7.066039689,0.034067725,0.780595088,631.3526561,27.01804405,-54.51106587,0.02734115,Phi fixed IF
result.29,3,14.54645962,0,0,0.799,5000,31.35972723,0.092535296,1.37,0.5,0.187,365,14.85823979,110.2621244,7.18,1,7.156032434,0.025207694,0.871584709,943.5813986,20.98719349,-54.57825405,0.032049118,Phi fixed IF
