,model_type,R0,gamma_val,omega_val,omega_m_val,kappa_val,rho_val,epsilon_val,mu_val,mj_val,m_val,delta_t,c,s,phi mod pi,phi,c_v,s_v,phi_v,zeta,disp,d,loglik,loglik.se
30,1,4.20556504,14.64337327,0,0.801,5000,0,0,1.37,0.5,0.187,365,39.27974728,94.44025565,1.095565336,38.79467718,1,2.038097891,0.967816942,0.347488419,243.1632557,11.3630271,-93.23767967,0.33865895
31,1,5.22794192,11.87770833,0,0.801,5000,0,0,1.37,0.5,0.187,365,17.33168286,121.0171662,0.897814693,7.181,1,2.900758094,1.087951463,0.464062798,19.18561008,5.637740722,-57.54453202,0.009968954
32,1,11.5998687,12.22952602,0,0.801,5000,0,0,1.37,0.5,0.187,365,9.547448706,175.4661586,0.897814693,7.181,1,3.505883294,1.03371397,0.347157264,19.43181825,10.72626058,-57.60812513,0.005691381
33,1,13.95807059,12.38517974,0,0.801,5000,0,0,1.37,0.5,0.187,365,8.435841158,180.6697826,0.897814693,7.181,1,4.004995083,1.027986142,0.730603892,21.89051859,5.005376314,-57.67835936,0.008660673
34,1,6.421420951,12.38593986,0,0.801,5000,0,0,1.37,0.5,0.187,365,15.12275291,214.3643446,0.897814693,7.181,1,4.159779729,1.014977211,0.358393012,19.8458315,7.718574393,-57.68949377,0.005542066
35,1,4.499065551,12.53033071,0,0.801,5000,0,0,1.37,0.5,0.187,365,13.87183505,114.5284332,0.897814693,7.181,1,4.563461052,1.000675962,0.375728649,19.73751414,6.414571768,-57.69005759,0.006567762
36,1,4.860635006,12.4373975,0,0.801,5000,0,0,1.37,0.5,0.187,365,12.96178694,77.94681174,0.897814693,7.181,1,3.534987452,1.04773881,0.334614875,23.15976597,7.260468762,-57.69304814,0.004719086
37,1,4.830280131,12.68965706,0,0.801,5000,0,0,1.37,0.5,0.187,365,12.70029514,124.8382182,0.897814693,7.181,1,4.631929954,0.989128805,0.435019281,19.13548716,6.089731907,-57.69484282,0.007231223
38,1,6.476494005,12.39417254,0,0.801,5000,0,0,1.37,0.5,0.187,365,13.47110397,175.7851997,0.897814693,7.181,1,4.318133606,1.014022321,0.287085428,19.54278182,9.541758696,-57.70659535,0.008959425
39,1,5.337958592,12.53132877,0,0.801,5000,0,0,1.37,0.5,0.187,365,13.2957995,144.0283529,0.897814693,7.181,1,4.379040904,1.002297129,0.335355234,19.24215391,8.070465239,-57.70895105,0.003423206
40,1,6.922987914,12.89745678,0,0.801,5000,0,0,1.37,0.5,0.187,365,11.96853671,196.6009512,0.897814693,7.181,1,5.407380347,0.981422844,0.487398033,18.20329216,5.798831935,-57.78714632,0.010358946
41,1,4.739871573,13.58562256,0,0.801,5000,0,0,1.37,0.5,0.187,365,12.0227429,119.2704351,0.897814693,7.181,1,6.405232622,0.970001012,0.334604137,18.66202999,6.859999863,-57.87727966,0.003920703
42,1,6.158686516,14.11955136,0,0.801,5000,0,0,1.37,0.5,0.187,365,9.206709157,149.0751561,0.897814693,7.181,1,7.524228032,0.942051868,0.44096345,18.87786271,6.502842952,-58.00317438,0.00354731
43,1,2.801917126,14.03946519,0,0.801,5000,0,0,1.37,0.5,0.187,365,15.52170903,118.2700342,0.897814693,7.181,1,7.446262925,0.947421446,0.548186074,20.27034642,3.659466997,-58.00319098,0.005905903
44,1,6.004987878,14.02426735,0,0.801,5000,0,0,1.37,0.5,0.187,365,11.19653286,181.7855885,0.897814693,7.181,1,7.825702593,0.954906763,0.741261214,17.85060555,3.40243439,-58.00851754,0.006731707
45,1,7.617478878,14.09327175,0,0.801,5000,0,0,1.37,0.5,0.187,365,7.250897503,206.6578824,0.897814693,7.181,1,7.100172466,0.911976183,0.8641648,18.74697197,4.79513066,-58.17369304,0.009998432
