"","model_type","R0","gamma_val","omega_val","omega_m_val","kappa_val","rho_val","epsilon_val","mu_val","mj_val","m_val","delta_t","c","s","phi","c_v","s_v","phi_v","zeta","disp","d","loglik","loglik.se"
"1",2,27.4332747506895,8.33733728967623,12.7369791747553,0.801,5000,0,0,1.37,0.501,0.191,365,38.1447151991405,76.8329072490192,7.95561770813517,1,60.8791897410344,3.17067382078561,0.859959754496839,91.0598970302435,1.23443673575239,-54.6913285904301,0.00329356556768118
"2",2,70.3077384116709,11.6528224523221,6.55686882788077,0.801,5000,0,0,1.37,0.501,0.191,365,22.2261762879872,146.761565285787,4.90359966098836,1,136.548408876533,3.26201752351676,0.814805135404129,171.145979411877,3.5071188506726,-64.8106704804894,0.0162284331577731
"3",2,51.7300054728751,12.8806794235221,15.5139693395894,0.801,5000,0,0,1.37,0.501,0.191,365,32.7461811928711,70.2527207435086,8.14249455318892,1,262.924427139409,3.28239994775875,0.503667118796113,81.2073426567615,4.65554763008562,-66.3451396884707,0.00805598968535173
"4",2,84.0369121661426,16.1807801403439,4.27122183260925,0.801,5000,0,0,1.37,0.501,0.191,365,9.14080985416287,34.1643043225864,8.28261074717942,1,161.529436000771,3.31149964100698,0.465460618468219,106.276066326698,11.5833187605738,-66.6371771962275,0.0239533553033771
"5",2,126.739696280616,15.7942150184931,5.1189621279564,0.801,5000,0,0,1.37,0.501,0.191,365,17.0247570767081,141.101517071257,5.09186393702736,1,178.596917514999,3.32426525223744,0.306722246596499,88.4774104535365,16.3150353509574,-66.9199287748664,0.0126519769738363
"6",2,113.445643749206,16.2144631367535,6.03652018452587,0.801,5000,0,0,1.37,0.501,0.191,365,19.7786309021442,140.828538685368,8.24745191748729,1,212.895653071044,3.31911881334307,0.55355867326735,106.684392431052,8.74334981023731,-68.0294762297354,0.0107082074520545
"7",2,112.339188158605,17.0724396396336,3.467340316959,0.801,5000,0,0,1.37,0.501,0.191,365,10.5335739708329,64.9277903718812,5.04911377130549,1,113.630461805047,3.33127208462487,0.285895527858175,185.639324577551,20.5674838358481,-69.0724349679456,0.033762316609452
"8",2,101.278985716397,16.2518444700517,6.406723139703,0.801,5000,0,0,1.37,0.501,0.191,365,22.7553868642611,166.984172317242,8.16367465034733,1,214.372764762195,3.31832908812076,0.514702745942915,144.695537556794,9.36775756313034,-70.3006000704026,0.0198741812808484
"9",2,84.9857470114704,14.0895940220735,7.0396403663805,0.801,5000,0,0,1.37,0.501,0.191,365,19.9530086348066,112.328085773057,8.13982012625426,1,193.59447722877,3.30237615838359,0.821650338638782,232.932362430791,4.38299971661596,-70.6979053795391,0.0192032477400145
"10",2,53.0100201033504,16.2553118107069,14.3440571361607,0.801,5000,0,0,1.37,0.501,0.191,365,30.521637256459,79.1733152039536,5.06454579145236,1,446.404074975173,3.31219324459548,0.666094000823976,122.336429052168,5.43085480993806,-70.796379062817,0.00940844562032663
