"","model_type","R0","gamma_val","omega_val","omega_m_val","kappa_val","rho_val","epsilon_val","mu_val","mj_val","m_val","delta_t","c","s","phi","c_v","s_v","phi_v","zeta","disp","d","loglik","loglik.se","comment"
"27",2,145.7179746,16.50196399,4.060732458,0.801,5000,0,0,1.37,0.501,0.191,365,22.5372136,322.3562537,8.205475121,1,139.9651969,3.330568047,0.556844463,795.1047209,10.07151116,-73.34244237,0.049686191,"Phi not fixed IF"
"28",2,211.8186412,16.60939739,5.672101635,0.801,5000,0,0,1.37,0.501,0.191,365,8.769600145,70.98219902,5.082174118,1,347.3271365,3.319333329,0.685042516,231.9412202,9.475923376,-73.59369156,0.028816561,"Phi not fixed IF"
"29",2,80.21878684,15.71953904,14.32113494,0.801,5000,0,0,1.37,0.501,0.191,365,24.95594372,80.53217612,8.213978977,1,452.0901521,3.312205831,0.824332728,152.4185848,4.303813702,-73.76046484,0.009870838,"Phi not fixed IF"
"30",2,91.79696004,16.7139216,8.98109923,0.801,5000,0,0,1.37,0.501,0.191,365,23.10309888,121.2421819,5.066319941,1,310.454004,3.314448077,0.474142649,265.0824096,9.413127314,-74.17611582,0.029624832,"Phi not fixed IF"
"31",2,91.02456908,16.55174531,10.6576917,0.801,5000,0,0,1.37,0.501,0.191,365,18.51951373,78.17215097,8.237262312,1,411.3651398,3.316740979,0.272406532,243.0205493,15.94431977,-74.50285525,0.010163136,"Phi not fixed IF"
"32",2,53.25874742,18.29374146,8.06262802,0.801,5000,0,0,1.37,0.501,0.191,365,28.34637739,80.7704926,8.180706705,1,229.2100142,3.331471143,0.599652175,508.0021153,7.604636102,-75.54101394,0.022090197,"Phi not fixed IF"
"33",2,172.8119115,16.62660898,8.774283238,0.801,5000,0,0,1.37,0.501,0.191,365,17.6667708,147.6126855,5.098892771,1,429.7325075,3.312303743,0.375974998,202.7593902,14.14866396,-75.59622889,0.032467238,"Phi not fixed IF"
"34",2,68.02055956,17.48472547,11.62558495,0.801,5000,0,0,1.37,0.501,0.191,365,37.51029233,136.9274469,5.073646855,1,320.6662513,3.32564347,0.235841163,359.6067859,17.24801915,-75.72726141,0.012320258,"Phi not fixed IF"
"35",2,63.79947678,17.28362364,8.636347777,0.801,5000,0,0,1.37,0.501,0.191,365,22.94958971,70.50110451,5.04600302,1,209.228768,3.325410513,0.760514902,435.7956938,5.496244278,-75.7970345,0.010310261,"Phi not fixed IF"
"36",2,84.74023132,15.76002576,10.51464205,0.801,5000,0,0,1.37,0.501,0.191,365,16.31835974,54.44458342,5.060916953,1,371.3726799,3.311560953,0.845370904,319.6139001,4.8673228,-76.1670089,0.015491061,"Phi not fixed IF"
"37",2,97.75024793,16.98056139,6.781340377,0.801,5000,0,0,1.37,0.501,0.191,365,20.8697387,147.7533,8.227342745,1,229.3474894,3.323293094,0.284883377,744.5127361,17.47332799,-76.24881087,0.051384448,"Phi not fixed IF"
"38",2,259.8499026,17.42974347,4.783271357,0.801,5000,0,0,1.37,0.501,0.191,365,8.500103307,82.10023599,5.080843478,1,305.3216912,3.330912256,0.816668837,666.5116739,8.901003266,-76.36954308,0.076591095,"Phi not fixed IF"
"39",2,47.36063777,16.62061068,18.22488239,0.801,5000,0,0,1.37,0.501,0.191,365,39.74670573,91.93987997,8.209321289,1,470.9027775,3.314567632,0.454142495,282.3015313,7.491918395,-76.39062779,0.02646638,"Phi not fixed IF"
"40",2,174.3660568,17.01258594,7.492148108,0.801,5000,0,0,1.37,0.501,0.191,365,17.27424447,134.4616596,5.06187149,1,354.6025126,3.323795236,0.601811982,408.9164488,9.048693084,-76.50106835,0.026029029,"Phi not fixed IF"
"41",2,93.60179995,18.33434721,6.823879729,0.801,5000,0,0,1.37,0.501,0.191,365,18.61326539,96.05801163,8.193202388,1,250.2396263,3.334563105,0.631631435,511.2049407,8.50336142,-76.69740748,0.023836254,"Phi not fixed IF"
"42",2,63.56596239,18.36006417,9.182259402,0.801,5000,0,0,1.37,0.501,0.191,365,35.770958,125.3434887,8.197509026,1,166.9473375,6.452834748,0.42243448,744.9351415,10.33857727,-77.49415827,0.021707755,"Phi not fixed IF"
"43",2,74.13262999,16.93923108,13.57313197,0.801,5000,0,0,1.37,0.501,0.191,365,21.99621714,46.41750215,5.067251845,1,361.5971512,3.323993086,0.4032874,396.977579,9.416583234,-77.72451852,0.024049974,"Phi not fixed IF"
"44",2,60.6302067,16.77317305,15.62004009,0.801,5000,0,0,1.37,0.501,0.191,365,42.34476333,161.1763641,5.057668913,1,493.1428313,3.309499139,0.816865835,438.2497616,4.59519294,-78.87803504,0.019822856,"Phi not fixed IF"
"45",2,71.2810114,16.64584995,12.2344525,0.801,5000,0,0,1.37,0.501,0.191,365,20.9233125,59.29252306,8.184498539,1,426.5377453,3.311803681,0.453367375,1044.781551,9.077076607,-79.08419426,0.037275966,"Phi not fixed IF"
