"","model_type","R0","gamma_val","omega_val","omega_m_val","kappa_val","rho_val","epsilon_val","mu_val","mj_val","m_val","delta_t","c","s","phi","c_v","s_v","phi_v","zeta","disp","d","loglik","loglik.se"
"1",2,33.8631162106337,14.3043436391361,12.8412632716384,0.801,5000,0,0,1.37,0.501,0.191,365,55.5834733917072,111.656935881875,8.15470193136975,1,185.340825417111,3.30517118623234,0.931015240398128,100.21853120434,2.75563669350039,-67.0695456928456,0.00942488444474081
"2",2,35.3664475916159,15.3860637592771,12.8344502953507,0.801,5000,0,0,1.37,0.501,0.191,365,51.3115838835374,86.702712214316,8.19273891157725,1,195.902928507141,3.31620382293411,0.885655415287272,119.951200248823,3.20757657411636,-68.6333274676167,0.011231533600317
"3",2,38.1126819111248,15.4365013633331,13.2308991670344,0.801,5000,0,0,1.37,0.501,0.191,365,30.5351008743011,41.0683617210212,8.20438172587533,1,216.209729411614,3.31865930832008,0.905121752257787,115.237850964855,3.22755777247105,-69.6916977802341,0.00585761939163515
"4",2,47.5975583641695,14.9554593482791,13.0628271087361,0.801,5000,0,0,1.37,0.501,0.191,365,43.0609011957358,94.8042115929244,8.17353811401421,1,243.69035320626,3.31279539170645,0.902075291273839,129.097876956405,3.17312190880565,-69.7500855621858,0.00416734978743983
"5",2,35.6457462318766,16.013865499704,13.2237122756755,0.801,5000,0,0,1.37,0.501,0.191,365,64.2666869167141,139.599272091117,8.18995805468922,1,201.871590049419,3.3192948111771,0.912264477981392,164.893853387602,3.2926311618711,-71.3227014793694,0.0132086423996161
"6",2,48.6465703530798,16.2191448628922,12.5776832920686,0.801,5000,0,0,1.37,0.501,0.191,365,31.6926516416113,54.8920570568245,8.20301807609211,1,274.216685173336,3.321391888041,0.931844654936462,157.990576553075,3.59751131658358,-71.6413031956079,0.00648941997860685
"7",2,42.426021277426,15.4372755670672,12.663885712489,0.801,5000,0,0,1.37,0.501,0.191,365,51.1508390266916,125.822048283807,8.16039646944925,1,233.240845816551,3.31799782074508,0.903726286632051,173.471595129972,3.33460333167649,-71.6970049553076,0.00879855933720117
"8",2,34.6271408796801,16.5310549002965,13.1040447515928,0.801,5000,0,0,1.37,0.501,0.191,365,48.2104520785061,63.0858615729679,5.05289797554384,1,206.078240792736,3.32659373914198,0.948268276754302,185.466540810664,3.22370465949191,-71.7728625068458,0.0142948650997951
"9",2,60.2503790512762,14.557410114747,12.9801281802152,0.801,5000,0,0,1.37,0.501,0.191,365,29.377604198179,81.7409977309237,8.20616783631344,1,316.175863902082,3.30115208741071,0.916482200615894,160.037578242203,3.38597252887432,-72.1768048270561,0.00668280843682004
"10",2,46.4949627716033,16.1473073159603,11.7887063775074,0.801,5000,0,0,1.37,0.501,0.191,365,34.421639899476,74.0415613999183,8.1904670134533,1,236.40861969164,3.31844972690298,0.93259241966995,191.901047301676,3.60248161954578,-72.6473508924973,0.0124384538590867
"11",2,54.2263129294923,16.8519686407753,10.5255420595775,0.801,5000,0,0,1.37,0.501,0.191,365,28.9607210003512,75.1549018543373,5.05846138976443,1,277.52002274998,3.32043061535243,0.755763315408762,211.066085861185,5.13791398838673,-72.8613765785106,0.0145988758083466
"12",2,211.818641164366,16.6093973913726,5.67210163527624,0.801,5000,0,0,1.37,0.501,0.191,365,8.76960014453819,70.9821990212938,5.08217411823592,1,347.327136483735,3.31933332934238,0.685042515676145,231.941220198763,9.47592337640807,-73.5936915619548,0.0288165614891733
"13",2,91.7969600433866,16.7139215999627,8.98109922993114,0.801,5000,0,0,1.37,0.501,0.191,365,23.103098878543,121.242181861589,5.06631994103963,1,310.454003970662,3.31444807694134,0.474142648523969,265.082409608515,9.41312731362429,-74.1761158216735,0.0296248317386167
"14",2,172.811911507707,16.6266089766656,8.77428323812041,0.801,5000,0,0,1.37,0.501,0.191,365,17.6667708036147,147.612685490726,5.09889277132697,1,429.732507466431,3.31230374263337,0.375974998165036,202.75939021193,14.1486639591665,-75.5962288890536,0.0324672376765492
"15",2,68.0205595618692,17.4847254654335,11.6255849472713,0.801,5000,0,0,1.37,0.501,0.191,365,37.5102923284531,136.927446943781,5.07364685537534,1,320.666251279839,3.32564346953738,0.235841163347992,359.606785918093,17.2480191478153,-75.7272614100287,0.0123202579965805
"16",2,259.849902577223,17.4297434733619,4.78327135659853,0.801,5000,0,0,1.37,0.501,0.191,365,8.50010330717498,82.1002359944757,5.0808434779353,1,305.321691217081,3.33091225588694,0.816668837070633,666.511673880156,8.90100326647011,-76.3695430756508,0.0765910947270978
"17",2,174.366056766735,17.012585937592,7.49214810793394,0.801,5000,0,0,1.37,0.501,0.191,365,17.2742444703134,134.461659638536,5.06187148952398,1,354.602512586215,3.32379523559933,0.601811981503539,408.916448828991,9.04869308414102,-76.5010683481175,0.0260290290242752
"18",2,74.1326299893978,16.9392310837436,13.5731319664818,0.801,5000,0,0,1.37,0.501,0.191,365,21.9962171446251,46.4175021539218,5.06725184514924,1,361.597151205752,3.32399308579942,0.403287400005085,396.977578991811,9.41658323390229,-77.7245185248601,0.0240499737994333
"19",2,60.6302066965492,16.7731730515445,15.6200400909002,0.801,5000,0,0,1.37,0.501,0.191,365,42.3447633283089,161.176364096049,5.05766891282907,1,493.142831311451,3.30949913939121,0.816865834709262,438.249761632786,4.59519293956008,-78.8780350404319,0.0198228561051218
"20",2,127.799547082689,15.4218822507314,15.2212486699747,0.801,5000,0,0,1.37,0.501,0.191,365,22.4453304068368,113.757464608102,5.05557268848692,1,781.062695069851,3.29716578560719,0.603419176639013,515.983523393918,6.81870913269869,-85.3581296395,0.0151284748114467
